# buoy ID | latitude | longitude | type           | anemometer height | air temp height | barometer height | sst depth
46061     | 60.238   | -146.833  | OCEAN_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
46066     | 52.765   | -155.009  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46069     | 33.677   | -120.213  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46070     | 55.008   |  175.183  | OCEAN_BUOY     | 5.0               | 4.5             | 0.5              | 0.4
46071     | 51.022   |  179.784  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46072     | 51.666   | -172.114  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46073     | 55.008   | -172.012  | OCEAN_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
46075     | 53.969   | -160.794  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46076     | 59.471   | -148.009  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46077     | 57.869   | -154.211  | OCEAN_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
46078     | 55.557   | -152.641  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46080     | 57.947   | -150.042  | OCEAN_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
46081     | 60.802   | -148.283  | COAST_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
46082     | 59.67    | -143.353  | OCEAN_BUOY     | 5.0               | 4.5             | 0.5              | 0.4
46083     | 58.27    | -138.019  | OCEAN_BUOY     | 4.9               | 4.4             | 0.3              | 0.6
46084     | 56.622   | -136.102  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46085     | 55.878   | -142.876  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46086     | 32.499   | -118.052  | OCEAN_BUOY     | 4.1               | 3.7             | 2.7              | 1.5
46087     | 48.493   | -124.727  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46088     | 48.332   | -123.179  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
46089     | 45.936   | -125.793  | OCEAN_BUOY     | 3.8               | 3.4             | 2.4              | 2.0
